武汉电信IPTV,#genre#
湖北公共新闻HD,rtp://239.69.1.40:9880
湖北经视HD,rtp://239.69.1.41:9886
湖北电视台HD,rtp://239.69.1.42:9892
湖北垄上HD,rtp://239.69.1.43:9898
武汉教育,rtp://239.69.1.60:9994
湖北IPTV导视,rtp://239.69.1.65:10030
CCTV-第一剧场HD,rtp://239.69.1.74:10084
CCTV-兵器科技,rtp://239.69.1.79:10114
CCTV-风云足球HD,rtp://239.69.1.81:10126
CCTV-高尔夫网球,rtp://239.69.1.83:10138
汽摩,rtp://239.69.1.84:10144
CCTV-老故事,rtp://239.69.1.85:10150
CCTV-女性时尚,rtp://239.69.1.86:10156
CCTV-电视指南,rtp://239.69.1.87:10162
CCTV-怀旧剧场,rtp://239.69.1.89:10174
CCTV-风云音乐,rtp://239.69.1.90:10180
CCTV-世界地理,rtp://239.69.1.91:10186
CCTV-央视台球,rtp://239.69.1.98:10224
爱上4K,rtp://239.69.1.141:10482
快乐垂钓HD,rtp://239.69.1.142:10488
先锋乒羽,rtp://239.69.1.143:10494
茶频道HD,rtp://239.69.1.144:10500
武汉一台HD(新闻综合),rtp://239.69.1.145:10506
武汉二台HD(电视剧),rtp://239.69.1.146:10512
武汉五台HD(文体),rtp://239.69.1.147:10518
CCTV-17(农业农村),rtp://239.69.1.153:10554
九屏导视,rtp://239.69.1.156:10572
四屏导视,rtp://239.69.1.170:10656
三沙卫视,rtp://239.69.1.171:10662
CETV4,rtp://239.69.1.175:10686
爱生活,rtp://239.69.1.176:10692
央广购物,rtp://239.69.1.178:10704
CETV2,rtp://239.69.1.183:10734
GTV网络棋牌,rtp://239.69.1.186:10758
新动漫,rtp://239.69.1.187:10764
书画,rtp://239.69.1.189:10776
广西卫视HD,rtp://239.69.1.191:10788
房县新闻综合HD,rtp://239.69.1.192:10794
湖北影视HD,rtp://239.69.1.204:10866
湖北生活HD,rtp://239.69.1.205:10872
湖北教育HD,rtp://239.69.1.206:10878
吉林卫视HD,rtp://239.69.1.212:10914
家有购物,rtp://239.69.1.219:10956
CGTN-阿拉伯语HD,rtp://239.69.1.221:10968
CGTN-俄语HD,rtp://239.69.1.222:10974
山东教育卫视,rtp://239.69.1.228:11010
中文国际-欧洲HD,rtp://239.69.1.231:11028
中文国际-美洲HD,rtp://239.69.1.232:11034
CGTN-记录片HD,rtp://239.69.1.233:11040
CGTN-西班牙语HD,rtp://239.69.1.234:11046
CGTN-法语HD,rtp://239.69.1.235:11052
四海钓鱼,rtp://239.69.1.244:11106
239.69.1.245:11112,rtp://239.69.1.245:11112
239.69.1.245:11114,rtp://239.69.1.245:11114
CCTV-16(奥林匹克)HD,rtp://239.69.1.247:11124
金鹰卡通HD,rtp://239.69.1.248:11130
CCTV-16(奥林匹克)4K,rtp://239.69.1.249:11136
武汉三台(科技生活)HD,rtp://239.69.1.251:11148
